protein_id,algorithm,time,score,checked,placed,hash
648,dfs_bnb_mpi,27.5679,-11,12,8079761,"[-1, -1, 2, 1, 2, -1, 2, -1, 2, 1, 2, -1, 2, -1, -2, -2, -1, -1, -2, 1, 1, -2, 1, -2, -1, -1, -2, 1, 1]"
649,dfs_bnb_mpi,27.2491,-9,10,6956259,"[-1, -2, 1, 1, 2, 2, 2, 2, -1, -2, -2, -1, 2, 2, -1, -1, -2, 1, -2, -1, -1, -2, 1, 1, -2, -1, -1, -1, 2]"
650,dfs_bnb_mpi,49.057,-9,10,13880704,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, -1, -1, -1, -2, -2, -1, 2, -1, -1, -2, 1, -2, -1, -2, 1, 1, 2, 1, -2, 1]"
651,dfs_bnb_mpi,5.21891,-8,9,1301655,"[-1, -1, 2, 2, 2, -1, -1, -2, -1, -2, -2, 1, 2, 1, -2, -2, 1, 1, -2, -1, -1, -1, 2, -1, -1, 2, 2, 2, 2]"
636,dfs_bnb_mpi,9592.17,-8,9,2743969868,"[-1, -1, 2, 2, 2, 1, 2, -1, 2, -1, -2, -2, -1, -1, -2, -2, -2, 1, -2, -2, 1, 1, 2, -1, 2, 2, 2, -1, -2]"
637,dfs_bnb_mpi,1261.29,-9,10,351042760,"[-1, -1, 2, 2, -1, -1, -1, 2, 1, 2, -1, -1, -2, -2, -1, -1, -2, 1, 1, 1, -2, -2, 1, 2, 2, 1, -2, -2, 1]"
638,dfs_bnb_mpi,1.69273,-10,10,496010,"[-1, -1, -1, -1, 2, 1, 2, 1, -2, 1, 1, 2, 1, -2, 1, -2, -1, -2, -1, -1, -1, -2, -2, -1, 2, 2, -1, -1, 2]"
639,dfs_bnb_mpi,28.2308,-11,12,7644017,"[-1, -1, 2, -1, 2, -1, -2, -1, -2, -2, 1, 2, 1, -2, -2, 1, 2, 1, -2, 1, 1, -2, -1, -1, -2, -1, -1, 2, 1]"
640,dfs_bnb_mpi,10124,-8,9,2738946767,"[-1, -1, 2, 2, 2, 2, 1, 2, 2, 2, 2, -1, -2, -2, -2, -1, 2, -1, -2, -1, -2, 1, -2, -2, -2, 1, 2, 2, 2]"
641,dfs_bnb_mpi,1130.78,-6,7,314156266,"[-1, -1, 2, 2, 2, 1, -2, -2, 1, 2, 1, -2, -2, -2, -1, -1, -1, -1, 2, 2, -1, 2, 1, 2, 2, 2, 2, 2, 2]"
642,dfs_bnb_mpi,4489.62,-10,11,1341382494,"[-1, -2, 1, 1, 1, 2, 2, 1, 2, 1, 2, -1, -1, -2, -1, 2, 2, 2, -1, -2, -2, -2, -1, -1, -2, 1, 1, 1, -2]"
648,dfs_bnb_mpi,27.5679,-11,12,8079761,"[-1, -1, 2, 1, 2, -1, 2, -1, 2, 1, 2, -1, 2, -1, -2, -2, -1, -1, -2, 1, 1, -2, 1, -2, -1, -1, -2, 1, 1]"
649,dfs_bnb_mpi,27.2491,-9,10,6956259,"[-1, -2, 1, 1, 2, 2, 2, 2, -1, -2, -2, -1, 2, 2, -1, -1, -2, 1, -2, -1, -1, -2, 1, 1, -2, -1, -1, -1, 2]"
650,dfs_bnb_mpi,49.057,-9,10,13880704,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, -1, -1, -1, -2, -2, -1, 2, -1, -1, -2, 1, -2, -1, -2, 1, 1, 2, 1, -2, 1]"
651,dfs_bnb_mpi,5.21891,-8,9,1301655,"[-1, -1, 2, 2, 2, -1, -1, -2, -1, -2, -2, 1, 2, 1, -2, -2, 1, 1, -2, -1, -1, -1, 2, -1, -1, 2, 2, 2, 2]"
