protein_id,algorithm,time,score,checked,placed,hash
14822,dfs_bnb_mpi,0.666429,-6,7,185130,"[-1, -1, 2, 1, 1, 2, -1, 2, 2, 1, 2, -1, -1, -2, -2, -2, -1, -2, -1]"
14823,dfs_bnb_mpi,0.107492,-7,8,29795,"[-1, -1, 2, -1, -2, -1, 2, -1, -2, -2, -2, 1, 2, 1, 1, 1, 1, 1, 2]"
14824,dfs_bnb_mpi,8.2046,-6,7,2152243,"[-1, -1, 2, 2, 2, 2, -1, 2, 2, 1, -2, 1, -2, -2, -2, -2, 1, 2, 2]"
14825,dfs_bnb_mpi,0.974686,-8,9,217387,"[-1, -1, 2, 2, -1, 2, 2, -1, 2, -1, -2, -2, 1, -2, -1, -2, 1, 1, -2]"
14826,dfs_bnb_mpi,0.052166,-7,8,15259,"[-1, -1, 2, 1, 2, -1, 2, 2, 1, -2, 1, 2, 1, -2, -2, -1, -2, 1, 1]"
14827,dfs_bnb_mpi,7.07178,-6,7,1903645,"[-1, -1, 2, 2, -1, -2, -2, -1, -1, -2, 1, 1, -2, 1, -2, 1, 2, 2, -1]"
14828,dfs_bnb_mpi,1.03806,-6,7,279809,"[-1, -1, 2, 2, 2, -1, -1, -2, 1, -2, -1, -2, 1, -2, 1, -2, 1, 2, 1]"
14829,dfs_bnb_mpi,11.2578,-8,9,2919910,"[-1, -2, 1, 1, 2, 1, 1, 2, -1, 2, 2, -1, -1, -1, -2, 1, 1, -2, -1]"
14830,dfs_bnb_mpi,0.124162,-9,9,29229,"[-1, -2, -1, 2, -1, 2, 2, 1, -2, 1, 2, 1, 2, -1, -1, 2, -1, -2, -1]"
14831,dfs_bnb_mpi,10.258,-6,7,3071101,"[-1, -2, -1, -2, -2, 1, 2, 1, 1, 1, 2, 2, 2, 2, -1, -2, -2, -2, -1]"
14832,dfs_bnb_mpi,0.026568,-8,9,6934,"[-1, -1, 2, 1, 2, 2, -1, -2, -1, -1, -2, 1, -2, -2, -1, 2, -1, 2, 2]"
14833,dfs_bnb_mpi,0.563405,-7,8,151909,"[-1, -2, 1, 1, 2, 2, -1, 2, 2, 1, 1, -2, -2, 1, -2, -1, -2, 1, 1]"
14834,dfs_bnb_mpi,0.213013,-7,8,59319,"[-1, -1, 2, 2, 2, 1, -2, -2, 1, 1, 2, -1, 2, 1, 2, 2, 1, -2, -2]"
14835,dfs_bnb_mpi,1.52406,-8,9,334056,"[-1, -1, 2, 2, 2, 2, -1, -1, -1, -2, -2, 1, 2, 1, -2, -2, -2, -1, 2]"
14836,dfs_bnb_mpi,6.03793,-9,10,1312254,"[-1, -1, 2, 2, 2, 2, 1, 2, 1, -2, 1, -2, -1, -1, -2, -2, 1, 2, 1]"
14837,dfs_bnb_mpi,1.45608,-6,7,336384,"[-1, -1, 2, 2, -1, 2, 2, 1, -2, 1, 1, -2, -1, -2, 1, 1, 1, 2, -1]"
14838,dfs_bnb_mpi,0.021168,-4,5,6394,"[-1, -1, 2, 2, 2, 1, 1, 2, 2, 1, -2, -2, -2, -1, -1, -2, 1, 1, 1]"
14839,dfs_bnb_mpi,0.611294,-7,8,164474,"[-1, -1, 2, 1, 2, 1, -2, 1, 2, 1, 1, 2, -1, -1, 2, -1, -1, -2, 1]"
14840,dfs_bnb_mpi,12.1547,-7,8,2984533,"[-1, -1, 2, 2, 2, 2, 2, 1, 1, -2, 1, -2, -1, -2, -2, -1, 2, 2, 2]"
14841,dfs_bnb_mpi,2.80677,-5,6,768249,"[-1, -1, 2, 2, 1, 1, -2, 1, 2, 2, 2, 1, -2, -2, -2, -2, -1, -2, -1]"
14842,dfs_bnb_mpi,0.24655,-6,7,72186,"[-1, -1, 2, -1, -2, -1, -1, -2, 1, -2, 1, 2, 1, -2, -2, 1, 2, 2, 1]"
14843,dfs_bnb_mpi,7.91708,-8,9,2120629,"[-1, -2, -1, -2, -1, 2, -1, -2, -2, 1, -2, 1, 2, 1, 2, 1, 2, 1, 2]"
14844,dfs_bnb_mpi,0.773526,-7,8,222213,"[-1, -1, 2, 2, 2, -1, -2, -2, -1, 2, -1, -2, -1, -2, 1, -2, 1, 2, 1]"
14845,dfs_bnb_mpi,0.096866,-8,9,26777,"[-1, -2, -1, 2, -1, -2, -1, -2, 1, 1, -2, 1, 2, 1, 2, 1, 2, 2, 2]"
14846,dfs_bnb_mpi,0.013158,-6,7,3802,"[-1, -1, 2, -1, -2, -1, -1, 2, 1, 2, -1, 2, 1, 2, 1, -2, -2, 1, 2]"
14847,dfs_bnb_mpi,5.85444,-5,5,1773141,"[-1, -1, 2, 2, -1, -1, 2, 1, 1, 2, 2, 2, 1, -2, -2, -2, -2, -2, 1]"
14848,dfs_bnb_mpi,4.21366,-5,6,1042289,"[-1, -2, -1, 2, 2, 2, 2, 1, -2, -2, 1, 2, 1, -2, -2, -2, -1, -2, 1]"
14849,dfs_bnb_mpi,1.29487,-9,10,350364,"[-1, -2, -2, -1, 2, 2, 2, 1, 2, 1, -2, 1, 1, -2, -1, -2, -1, -2, 1]"
14850,dfs_bnb_mpi,0.209353,-8,9,52918,"[-1, -1, 2, 2, 1, -2, 1, 1, -2, -2, -2, -1, 2, -1, -1, -2, 1, -2, 1]"
14851,dfs_bnb_mpi,0.031102,-8,9,8587,"[-1, -2, -1, -2, 1, 1, 2, 1, 2, 2, 1, -2, 1, -2, -1, -2, -1, -2, 1]"
14852,dfs_bnb_mpi,0.140492,-8,9,40108,"[-1, -2, 1, 1, 2, 1, 2, -1, 2, -1, -2, -1, 2, 2, -1, -2, -1, -2, 1]"
14853,dfs_bnb_mpi,3.48489,-11,12,855125,"[-1, -2, 1, 1, 1, 1, 2, 1, 2, -1, 2, -1, -1, -1, -2, 1, 1, -2, -1]"
14854,dfs_bnb_mpi,1.23122,-6,7,329617,"[-1, -1, 2, 2, 1, 2, -1, 2, -1, 2, -1, -2, -2, 1, -2, -1, -1, 2, 2]"
14855,dfs_bnb_mpi,17.7116,-7,8,3867759,"[-1, -1, 2, 2, 2, 2, 2, 1, 2, 1, 1, -2, -1, -2, 1, -2, -1, -1, 2]"
14856,dfs_bnb_mpi,0.455941,-5,6,106343,"[-1, -1, 2, 2, -1, -1, 2, -1, -2, -2, -2, 1, 2, 1, -2, -2, 1, 1, 1]"
14857,dfs_bnb_mpi,2.3721,-9,10,587448,"[-1, -1, 2, -1, -2, -2, -1, 2, -1, -2, -1, -2, 1, 1, 1, 1, 1, 2, -1]"
14858,dfs_bnb_mpi,0.448225,-4,5,124282,"[-1, -1, 2, 2, 2, 2, 1, 1, -2, -2, -2, 1, -2, 1, -2, -2, -1, 2, -1]"
14859,dfs_bnb_mpi,0.053776,-9,10,15327,"[-1, -2, -1, -1, 2, 1, 2, 1, 2, -1, -1, -2, -1, -2, -1, -1, -2, 1, 1]"
14860,dfs_bnb_mpi,0.051306,-6,7,12061,"[-1, -1, 2, 1, 1, 2, -1, 2, -1, -2, -1, 2, -1, -2, -2, 1, -2, -1, -1]"
14861,dfs_bnb_mpi,0.257962,-4,5,81282,"[-1, -1, 2, -1, 2, -1, -2, -2, 1, -2, 1, -2, -1, -1, 2, -1, 2, 2, 2]"
14862,dfs_bnb_mpi,0.162053,-8,9,46731,"[-1, -2, -1, -2, -2, -1, -1, -2, 1, -2, 1, 2, 1, 2, 2, 1, 2, 1, 2]"
14863,dfs_bnb_mpi,0.353924,-7,8,109660,"[-1, -2, 1, 1, 2, 2, 1, 1, 2, -1, -1, 2, 2, -1, -2, -2, -1, -2, 1]"
14864,dfs_bnb_mpi,4.22206,-7,8,1104137,"[-1, -1, 2, 1, 2, 2, 1, -2, -2, 1, -2, 1, 1, -2, -1, -1, -1, -2, 1]"
14865,dfs_bnb_mpi,0.083835,-7,8,24007,"[-1, -2, -1, -2, 1, 1, 2, 1, 2, 1, -2, 1, -2, -1, -1, -2, 1, 1, 1]"
14866,dfs_bnb_mpi,1.83719,-9,10,480600,"[-1, -2, -1, -2, 1, 1, 2, 1, 2, 1, -2, -2, -1, -2, -2, -1, -1, 2, 1]"
14867,dfs_bnb_mpi,0.83113,-8,9,190139,"[-1, -2, 1, 1, 2, 1, 2, 1, 2, 2, -1, -2, -1, -2, -1, 2, -1, -2, -1]"
14868,dfs_bnb_mpi,2.40758,-6,7,728086,"[-1, -1, 2, 1, 2, 1, 2, 2, 2, 1, -2, -2, -2, 1, -2, -2, -1, 2, -1]"
14869,dfs_bnb_mpi,0.027802,-10,11,6473,"[-1, -2, 1, 1, 1, -2, -2, -1, 2, -1, -1, -2, 1, -2, 1, -2, 1, 2, 1]"
14870,dfs_bnb_mpi,0.295667,-10,10,82917,"[-1, -1, -1, 2, -1, 2, 1, 1, -2, 1, 1, 2, -1, 2, -1, 2, -1, -2, -1]"
14871,dfs_bnb_mpi,5.98051,-9,9,1364518,"[-1, -1, 2, 2, 2, 2, 1, -2, 1, 2, 2, 1, -2, -2, -2, -1, -1, -2, 1]"
14872,dfs_bnb_mpi,23.1501,-3,4,5532100,"[-1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, -2, -1, -2, 1]"
14873,dfs_bnb_mpi,1.0043,-4,5,276597,"[-1, -1, 2, 2, 2, 1, 2, 2, 1, -2, -2, -2, 1, 1, -2, -1, -1, -1, 2]"
14874,dfs_bnb_mpi,0.464464,-5,6,142038,"[-1, -2, 1, 1, 2, 2, -1, -1, -1, 2, 1, 2, -1, -1, -2, -2, -2, 1, -2]"
14875,dfs_bnb_mpi,0.025621,-6,7,7512,"[-1, -1, 2, -1, -2, -2, 1, -2, -1, -2, 1, -2, 1, 2, 1, 2, -1, 2, 1]"
14876,dfs_bnb_mpi,0.642539,-5,6,179626,"[-1, -1, 2, 2, 2, 1, 1, 1, -2, -1, -2, 1, 1, 1, -2, -1, -1, -2, -1]"
14877,dfs_bnb_mpi,0.008159,-5,5,2422,"[-1, -2, 1, 1, 2, 2, -1, -1, 2, -1, -2, -1, -1, -2, 1, 1, -2, -1, -1]"
14878,dfs_bnb_mpi,0.453041,-5,6,104750,"[-1, -1, 2, 2, 2, 2, 2, 2, 1, -2, -2, -2, -2, 1, 2, 2, 2, 2, 2]"
14879,dfs_bnb_mpi,0.0483,-8,9,13387,"[-1, -2, -1, -2, 1, 1, 2, 1, 1, -2, -1, -2, -1, -2, -1, 2, -1, -1, 2]"
14880,dfs_bnb_mpi,0.207904,-9,10,57319,"[-1, -1, 2, 1, 2, 1, -2, 1, -2, 1, -2, -2, -1, 2, -1, -1, -2, 1, -2]"
14881,dfs_bnb_mpi,0.010141,-4,5,3078,"[-1, -1, 2, 1, 2, -1, -1, -2, -1, 2, 2, 1, 2, 2, 1, -2, -2, 1, 2]"
14882,dfs_bnb_mpi,0.800409,-8,9,209231,"[-1, -2, 1, -2, -2, 1, 1, 1, 2, -1, -1, 2, 2, 2, 1, -2, -2, 1, 2]"
14883,dfs_bnb_mpi,0.282752,-4,4,85881,"[-1, -1, 2, 2, -1, -2, -1, 2, -1, -2, -2, 1, -2, -1, -2, 1, 1, 2, 2]"
14884,dfs_bnb_mpi,9.36963,-8,9,2078540,"[-1, -1, 2, 1, 2, -1, 2, -1, 2, -1, -2, -1, -2, 1, 1, -2, -1, -2, 1]"
14885,dfs_bnb_mpi,0.122286,-7,7,34496,"[-1, -2, 1, 1, 2, 2, 1, 2, 1, -2, 1, -2, -1, -1, -2, -2, 1, 2, 1]"
14886,dfs_bnb_mpi,0.255856,-9,10,67428,"[-1, -1, 2, 2, 1, -2, 1, 1, 2, 1, 2, 1, 1, -2, -1, -2, -1, -2, -1]"
14887,dfs_bnb_mpi,2.0787,-8,9,588045,"[-1, -1, 2, 2, 2, 2, 2, 1, -2, 1, 1, -2, -2, -1, -2, -1, 2, 2, 1]"
14888,dfs_bnb_mpi,8.62586,-8,9,2206136,"[-1, -1, 2, 2, 2, 2, 1, 1, 1, 1, -2, -1, -2, -1, -2, -1, 2, 2, 1]"
14889,dfs_bnb_mpi,0.441138,-9,10,109778,"[-1, -2, -1, 2, 2, 1, 2, -1, 2, 1, 1, -2, -2, 1, 1, -2, -1, -2, -1]"
14890,dfs_bnb_mpi,2.32469,-9,10,589874,"[-1, -1, 2, 1, 1, 2, 1, -2, -2, -2, -2, -1, -2, -1, 2, -1, 2, 1, 1]"
14891,dfs_bnb_mpi,0.857249,-7,8,236630,"[-1, -2, -1, 2, 2, -1, -1, 2, 1, 2, 1, -2, 1, -2, 1, 2, 1, -2, -2]"
14892,dfs_bnb_mpi,0.064529,-6,6,18444,"[-1, -1, 2, 1, 1, 1, 1, 2, -1, -1, 2, -1, -2, -1, 2, 2, 2, 2, 2]"
14893,dfs_bnb_mpi,2.41416,-9,10,620203,"[-1, -1, 2, -1, -2, -2, -2, 1, 2, 1, 1, 1, 2, 1, -2, -2, -1, -1, -1]"
14894,dfs_bnb_mpi,0.211612,-8,9,54327,"[-1, -1, 2, 2, 1, -2, 1, 2, 2, -1, 2, -1, -2, -1, -2, -1, -2, 1, -2]"
14895,dfs_bnb_mpi,2.29815,-10,11,561002,"[-1, -2, -1, 2, 2, 1, 2, 2, -1, -2, -1, -2, -1, -2, 1, -2, -2, -1, 2]"
14896,dfs_bnb_mpi,0.269899,-8,8,68951,"[-1, -1, 2, 1, 1, 1, 2, 2, -1, -2, -1, -1, -1, -2, -1, -2, 1, -2, 1]"
14897,dfs_bnb_mpi,0.260266,-6,6,77956,"[-1, -2, 1, 1, 2, 2, 2, 1, -2, -2, -2, -2, 1, -2, -1, -1, 2, -1, -1]"
14898,dfs_bnb_mpi,0.938717,-6,7,271639,"[-1, -1, 2, 2, -1, -1, 2, -1, -2, -1, -2, 1, -2, 1, 2, 1, -2, -2, 1]"
14899,dfs_bnb_mpi,2.09232,-4,5,645268,"[-1, -1, 2, 1, 2, 2, 2, 2, 2, 1, -2, -2, -2, -2, -2, 1, -2, 1, 2]"
14900,dfs_bnb_mpi,0.94305,-9,9,263146,"[-1, -2, 1, 1, 2, 1, 2, 2, 1, -2, -2, -2, -1, -2, -1, -2, -1, 2, -1]"
14901,dfs_bnb_mpi,0.113557,-7,8,32538,"[-1, -1, 2, -1, 2, -1, -2, -1, 2, -1, -2, -2, 1, -2, 1, 2, 1, -2, 1]"
14902,dfs_bnb_mpi,0.873363,-7,7,218441,"[-1, -1, 2, 2, 2, 1, 2, 1, 1, -2, -1, -2, -1, -2, 1, 1, 2, 1, 2]"
14903,dfs_bnb_mpi,0.994399,-9,10,269639,"[-1, -1, 2, -1, -2, -1, -2, -1, -2, 1, -2, 1, 1, 2, 1, 2, -1, -1, -2]"
14904,dfs_bnb_mpi,0.269199,-5,6,78838,"[-1, -1, 2, 2, 2, -1, 2, 1, 2, 1, -2, 1, 1, -2, -1, -1, -2, -2, 1]"
14905,dfs_bnb_mpi,0.721223,-7,8,211391,"[-1, -2, 1, 1, 2, 1, 2, 1, -2, -2, -1, -2, -1, -1, -2, -1, -1, 2, 1]"
14906,dfs_bnb_mpi,1.92143,-8,9,513188,"[-1, -1, 2, 2, -1, -1, -2, 1, -2, -1, -2, 1, -2, 1, -2, 1, 2, 2, -1]"
14907,dfs_bnb_mpi,2.02427,-9,10,462561,"[-1, -1, 2, -1, 2, 1, 2, -1, 2, 1, 2, 1, -2, -2, 1, -2, -2, -1, 2]"
