jobid,joules
11501290,28798608.62
11500501,525748.01
11500497,15087.00
11500281,13299.00
13962659,17490.00
11735360,215862980.00
11735359,218091568.64
13963932,12271.00
13963283,20370.00
13963220,11394.00
13965023,51271.00
13964854,150413.00
13964739,178546.00
13964173,18347.00
14236797,85693604.51
13968115,233748173.54
14236825,22364433.66
14236824,59790126.55
14236817,83237561.94
14236801,57146967.98
14236841,7970608.07
14236838,9464205.25
14236828,11742464.15
14236827,16026755.38
14236852,6693345.89
14236851,10605009.13
14236850,9660839.95
14236849,9274690.98
14236905,219191095.68
14236904,198713190.19
14236903,200874421.11
14236855,1788977.05
14236926,199575661.48
14236925,216101281.41
14236924,200980842.51
14236907,237794751.04
14322889,213291149.74
14322887,230812372.77
14322884,6951.00
14236928,52022978.58
14322897,146292436.69
14322894,250084429.07
14322893,214711571.33
14322891,231009225.41
14322996,201637597.70
14322995,162193304.71
14322993,230476545.16
14322991,204913770.79
14323042,211708823.97
14323028,243178324.25
14323025,226288320.03
14323013,209237359.99
14323089,203995395.34
14323087,201598981.94
14323080,221847683.90
14323063,202909813.15
15990661,612.00
15990399,615.00
14519955,217605643.07
14323100,200206651.85
15991796,182533.00
