jobid,wall_time_s,dc_power_w,energy_kwh
11500281,0.044,157.182,0.000002
11500281,0.041,160.882,0.000002
11500281,0.043,160.930,0.000002
11500281,0.043,157.422,0.000002
11500281,0.042,160.333,0.000002
11500281,0.047,161.195,0.000002
11500281,0.057,166.333,0.000003
11500281,0.063,174.542,0.000003
11500281,0.056,167.289,0.000003
11500281,0.168,178.334,0.000008
11500281,0.060,166.053,0.000003
13962659,0.056,146.661,0.000002
13962659,0.051,161.039,0.000002
13962659,0.183,178.305,0.000009
13962659,0.049,157.531,0.000002
13962659,0.050,161.000,0.000002
13962659,0.054,162.130,0.000002
13962659,0.060,167.633,0.000003
13962659,0.068,172.777,0.000003
13962659,0.059,163.729,0.000003
13962659,0.057,163.947,0.000003
13962659,0.050,160.060,0.000002
13962903,0.057,166.614,0.000003
13962903,0.060,151.050,0.000003
13962903,0.112,176.116,0.000005
13962903,0.128,174.119,0.000006
13962903,0.055,162.291,0.000002
13962903,0.056,165.057,0.000003
13962903,0.060,170.617,0.000003
13962903,0.071,172.549,0.000003
13962903,0.064,165.000,0.000003
13962903,0.055,170.055,0.000003
13962903,0.054,161.318,0.000002
13963220,0.044,168.636,0.000002
13963220,0.047,160.106,0.000002
13963220,0.043,161.349,0.000002
13963220,0.044,156.886,0.000002
13963220,0.046,154.804,0.000002
13963220,0.046,157.084,0.000002
13963220,0.043,156.256,0.000002
13963220,0.056,160.750,0.000003
13963220,0.049,142.122,0.000002
13963220,0.046,159.214,0.000002
13963220,0.090,167.656,0.000004
13963283,0.042,160.333,0.000002
13963283,0.044,157.636,0.000002
13963283,0.045,164.307,0.000002
13963283,0.052,163.154,0.000002
13963283,0.042,161.024,0.000002
13963283,0.045,155.219,0.000002
13963283,0.048,162.417,0.000002
13963283,0.067,134.313,0.000002
13963283,0.046,164.975,0.000002
13963283,0.046,166.587,0.000002
13963283,0.050,164.620,0.000002
13963932,0.042,152.214,0.000002
13963932,0.041,156.098,0.000002
13963932,0.139,175.597,0.000007
13963932,0.045,153.267,0.000002
13963932,0.041,155.902,0.000002
13963932,0.042,156.762,0.000002
13963932,0.041,161.146,0.000002
13963932,0.046,143.304,0.000002
13963932,0.042,152.690,0.000002
13963932,0.042,156.306,0.000002
13963932,0.043,150.488,0.000002
13964094,0.044,152.886,0.000002
13964094,0.243,171.287,0.000012
13964094,0.180,177.978,0.000009
13964094,0.043,149.605,0.000002
13964094,0.043,149.465,0.000002
13964094,0.068,168.721,0.000003
13964094,0.055,165.927,0.000003
13964094,0.057,166.175,0.000003
13964094,0.057,166.053,0.000003
13964094,0.095,170.926,0.000005
13964094,0.048,159.646,0.000002
13964173,0.043,160.465,0.000002
13964173,0.044,151.023,0.000002
13964173,0.047,145.234,0.000002
13964173,0.058,163.190,0.000003
13964173,0.043,158.136,0.000002
13964173,0.055,163.582,0.000002
13964173,0.042,156.095,0.000002
13964173,0.059,159.218,0.000003
13964173,0.056,127.696,0.000002
13964173,0.042,152.452,0.000002
13964173,0.056,164.607,0.000003
11500497,0.044,158.481,0.000002
11500497,0.045,153.115,0.000002
11500497,4.538,191.496,0.000241
11500497,5.033,175.642,0.000246
11500497,2.816,211.650,0.000166
11500497,0.976,204.902,0.000056
11500497,0.246,195.185,0.000013
11500497,0.169,200.049,0.000009
11500497,0.043,156.651,0.000002
11500497,0.259,202.260,0.000015
11500497,1.042,210.827,0.000061
11500497,2.036,144.893,0.000082
11500497,3.486,171.545,0.000166
11500497,3.505,257.349,0.000251
11500497,4.049,224.008,0.000252
11500497,4.523,201.638,0.000253
11500501,0.310,236.551,0.000020
11500501,0.199,249.778,0.000014
11500501,51.617,473.833,0.006794
11500501,46.670,455.387,0.005904
11500501,40.821,431.422,0.004892
11500501,33.001,455.813,0.004178
11500501,29.414,409.271,0.003344
11500501,33.250,434.143,0.004010
11500501,27.884,366.455,0.002838
11500501,31.306,440.147,0.003828
11500501,9.619,386.838,0.001034
11500501,7.675,365.993,0.000780
11500501,0.879,232.111,0.000057
11500501,6.388,254.852,0.000452
11500501,71.374,483.289,0.009582
11500501,89.902,482.254,0.012043
11500501,69.649,487.740,0.009436
11500501,50.701,483.456,0.006809
11500501,110.851,492.899,0.015177
11500501,68.268,480.611,0.009114
11500501,74.975,477.340,0.009941
11501290,2.465,240.567,0.000165
11501290,0.454,229.321,0.000029
11501290,3785.293,494.963,0.520439
11501290,3227.321,497.395,0.445904
11501290,2451.738,493.552,0.336128
11501290,2662.603,498.974,0.369047
11501290,2026.462,496.532,0.279501
11501290,992.063,486.201,0.133984
11501290,932.145,489.064,0.126633
11501290,1083.512,493.642,0.148574
11501290,887.088,486.345,0.119842
11501290,746.430,479.638,0.099449
11501290,0.372,289.960,0.000030
11501290,792.928,481.601,0.106076
11501290,856.253,478.291,0.113761
11501290,852.140,472.138,0.111758
11501290,434.793,474.915,0.057358
11501290,180.411,501.789,0.025147
11501290,124.314,455.119,0.015716
11501290,3749.354,515.461,0.536846
11501290,3656.872,505.345,0.513328
11501290,6532.427,503.515,0.913660
11501290,7663.282,504.627,1.074194
11501290,6027.306,500.702,0.838301
11501290,4678.223,493.826,0.641730
11501290,3172.329,490.963,0.432638
11501358,1.871,166.757,0.000087
11501358,0.341,222.553,0.000021
